images,English,Hindi
images/39.jpg,Sophie and Dr.Samir giving their best to make the solution,सोफी और डॉ ।समीर ने समाधान बनाने के लिए अपना सर्वश्रेष्ठ दिया
images/40.jpg,Spirit is now controlling Sophie's mind to kill Dr. Samir as he has cracked the formula,आत्मा अब डॉ। समीर को मारने के लिए सोफी के दिमाग को नियंत्रित कर रही है क्योंकि उसने सूत्र को क्रैक किया है
images/41.jpg,Now Sophie under the influence of spirit stabbs Dr. Samir to death,अब सोफी स्पिरिट के प्रभाव में डॉ। समीर को मौत के लिए छुरा घोंपता है
images/42.jpg,Sophie regains her consciousnes and is in grief of killing Dr. Samir,सोफी ने अपनी चेतना को फिर से हासिल किया और डॉ। समीर को मारने के दुःख में है
images/43.jpg,Sophie trying to remember the antidote formula which Dr. Samir created,"सोफी ने एंटीडोट फॉर्मूला को याद करने की कोशिश की, जिसे डॉ। समीर ने बनाया था"
images/44.jpg,Sophie successful in creating the antidote.,सोफी एंटीडोट बनाने में सफल।
images/45.jpg,"Sophie trying to inject Emma the antidote injection, but spirit is becoming aggressive","सोफी एम्मा एंटीडोट इंजेक्शन को इंजेक्ट करने की कोशिश कर रही है, लेकिन आत्मा आक्रामक हो रही है"
images/46.jpg,Emma under the influence of Spirit is trying to resist Sophie,आत्मा के प्रभाव के तहत एम्मा सोफी का विरोध करने की कोशिश कर रही है
images/47.jpg,Sophie vs. Emma (Spirit),सोफी बनाम एम्मा (आत्मा)
images/48.jpg,Sophie succeeded in injecting the antidote into Emma,सोफी एम्मा में एंटीडोट को इंजेक्ट करने में सफल रही
images/49.jpg,Emma regains her consiousness and free from spirits controle,एम्मा उसकी संदिग्धता और आत्माओं से मुक्त हो जाती है
images/50.jpg,Emma’s Emotional Reunion with Sophie,सोफी के साथ एम्मा का भावनात्मक पुनर्मिलन
images/51.jpg,Emma resuming her normal life,एम्मा ने अपने सामान्य जीवन को फिर से शुरू किया
images/52.jpg,Sophie continuing her other research,सोफी ने अपने अन्य शोध को जारी रखा
images/53.jpg,.,एक सप्ताह बाद
images/54.jpg,"The final chilling shot of the spirit's whisper, ""It’s not over,"" lingering in the air as the screen fades to black.","स्पिरिट की कानाफूसी का अंतिम चिलिंग शॉट, ""इट्स नॉट ओवर,"" हवा में लिंग के रूप में स्क्रीन काले रंग के लिए फीकी पड़ जाती है।"
